symbol,sample,strategy,cost_bps,total_return,cagr,sharpe,max_drawdown,calmar,trade_win_rate,trade_profit_factor,payoff_ratio,trades,turnover,avg_hold_h
BTCUSDT,FULL_SAMPLE,Buy & Hold,0.0,9.501503409493445,0.4200688938805395,0.8806031024607556,-0.7719848663243931,0.5441413584706514,0.5069840243632714,1.031786567373877,,1,1.0,58777.0
BTCUSDT,FULL_SAMPLE,PFR v0.4 Flagship,0.0,2.732357713107583,0.21704200048278244,1.0257150700785265,-0.2473506486652175,0.8774668740672801,0.5490909090909091,1.6508148457098282,1.3556360322385346,275,550.0,24.596363636363638
BTCUSDT,FULL_SAMPLE,PFR v0.4 Flagship,2.5,2.2528360585120963,0.19233629821357656,0.9297213715330992,-0.2585652342907536,0.743859857034363,0.5454545454545454,1.6114008284568504,1.342834023714042,275,550.0,24.596363636363638
BTCUSDT,FULL_SAMPLE,PFR v0.4 Flagship,5.0,1.834824351611069,0.16812612509101443,0.8336412110680866,-0.2696154651871015,0.6235774530750384,0.5309090909090909,1.5729093420182343,1.389762363838029,275,550.0,24.596363636363638
BTCUSDT,FULL_SAMPLE,PFR v0.4 Flagship,10.0,1.1528277108387428,0.12115328352571586,0.6413500555617038,-0.3273093261149066,0.370149194842017,0.5127272727272727,1.498555254877832,1.4241588947065922,275,550.0,24.596363636363638
ETHUSDT,IN_SAMPLE (2020-2023),Buy & Hold,0.0,16.70675874912717,1.0526731231101252,1.2665216699729995,-0.8134301412710891,1.2941161996593686,0.5064226992464033,1.0449808122463224,,1,1.0,35032.0
ETHUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,0.0,0.8872143846005567,0.172244751111037,0.6921148477480981,-0.45700650871470566,0.3768978074195521,0.5408805031446541,1.4198472651514784,1.20521919018672,159,318.0,24.955974842767297
ETHUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,2.5,0.7429770730144594,0.14915343777826218,0.623703663856608,-0.4610802641789229,0.323486927040501,0.5408805031446541,1.3951244416168207,1.1842335376514872,159,318.0,24.955974842767297
ETHUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,5.0,0.6097316196434044,0.1265113804569562,0.5552617554399002,-0.4651244684646004,0.27199467891804685,0.5408805031446541,1.370856588686649,1.163634081094481,159,318.0,24.955974842767297
ETHUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,10.0,0.3729387119943892,0.08254067178538405,0.418333693797157,-0.47345133711857496,0.17433823777481885,0.5283018867924528,1.3236243110492474,1.1818074205796851,159,318.0,24.955974842767297
ETHUSDT,OUT_OF_SAMPLE (2024-2026),Buy & Hold,0.0,0.04540574178195378,0.016528237042845006,0.35414846471035966,-0.6914772036474163,0.02390279383855544,0.5057906927774268,1.0118140078487976,,1,1.0,23745.0
ETHUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,0.0,0.21626922206933274,0.07495585507916736,0.4351595915164114,-0.4739285968669677,0.15815854028366969,0.5172413793103449,1.2051396459920642,1.1247970029259267,116,232.0,24.629310344827587
ETHUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,2.5,0.14773261881700783,0.05218364606079362,0.3392817810755603,-0.4790380261654518,0.10893424573933563,0.5,1.1827659149968066,1.1827659149968066,116,232.0,24.629310344827587
ETHUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,5.0,0.08304233535862093,0.029888336349254807,0.24337693200758287,-0.4840990909296347,0.061740120791921024,0.4827586206896552,1.160770109071998,1.243682259719998,116,232.0,24.629310344827587
ETHUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,10.0,-0.03564721032539053,-0.013310870245738071,0.05160849904754661,-0.49407790633252696,-0.026940832761664753,0.46551724137931033,1.117984502742984,1.2836118364826854,116,232.0,24.629310344827587
